OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|AREALAND_PART|AREAWATER_PART
221704258328270|28601|ZCTA5 28601|121893138|8847569|G6350|B5|S|28090306650997|3747695|Northlakes CDP|3864189|1078630|G4210|U1|S|3630319|1078630
221704258328270|28601|ZCTA5 28601|121893138|8847569|G6350|B5|S|27890303214819|3756240|Rhodhiss town|3076227|185754|G4110|C1|A|1840343|49430
221704258328270|28601|ZCTA5 28601|121893138|8847569|G6350|B5|S|28090202935900|3758730|St. Stephens CDP|24122105|913947|G4210|U1|S|18982093|898071
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|||||||||134014195|1030672
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|27890202935890|3708140|Brookford town|1651481|49697|G4110|C1|A|1651481|49697
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|27890202935894|3731060|Hickory city|79593389|257093|G4110|C1|A|26643405|73997
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|28090303214817|3733320|Icard CDP|9909477|24894|G4210|U1|S|1540722|0
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|27890202935896|3739280|Long View town|10421980|25190|G4110|C1|A|7083535|25190
221704258328296|28602|ZCTA5 28602|183010279|1208471|G6350|B5|S|28090202935898|3744770|Mountain View CDP|12076941|28915|G4210|U1|S|12076941|28915
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|||||||||130712739|172969
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|27890426704842|3703500|Banner Elk town|4972670|0|G4110|C1|A|4972670|0
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|27890295745967|3704510|Beech Mountain town|16784849|33588|G4110|C1|A|16784849|33588
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|280903717525902|3724380|Foscoe CDP|14981648|16256|G4210|U1|S|7299109|3396
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|27890295745973|3760505|Seven Devils town|5741958|35522|G4110|C1|A|5741958|35522
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|27890426704851|3765530|Sugar Mountain village|6368234|0|G4110|C1|A|5879547|0
221704258328310|28604|ZCTA5 28604|177810765|265230|G6350|B5|S|280903717525893|3769600|Valle Crucis CDP|11488482|59823|G4210|U1|S|6419893|19755
221704258328318|28605|ZCTA5 28605|84965812|536261|G6350|B5|S|||||||||76618366|422631
221704258328318|28605|ZCTA5 28605|84965812|536261|G6350|B5|S|27890306650990|3706500|Blowing Rock town|8393045|113630|G4110|C1|A|8347446|113630
221704258328323|28606|ZCTA5 28606|111395233|1029129|G6350|B5|S|||||||||111395233|1029129
221704258328361|28607|ZCTA5 28607|263458870|788828|G6350|B5|S|||||||||239429375|723061
221704258328361|28607|ZCTA5 28607|263458870|788828|G6350|B5|S|27890676707612|3707080|Boone town|16346956|52907|G4110|C1|A|16346956|52907
221704258328361|28607|ZCTA5 28607|263458870|788828|G6350|B5|S|280903717525902|3724380|Foscoe CDP|14981648|16256|G4210|U1|S|7682539|12860
221704258328368|28609|ZCTA5 28609|118272794|5207561|G6350|B5|S|||||||||102388406|3540881
221704258328368|28609|ZCTA5 28609|118272794|5207561|G6350|B5|S|27890202935891|3710980|Catawba town|11481382|179493|G4110|C1|A|11131756|173715
221704258328368|28609|ZCTA5 28609|118272794|5207561|G6350|B5|S|28090202935895|3736510|Lake Norman of Catawba CDP|62514118|21931268|G4210|U2|S|4752632|1492965
221704258328374|28610|ZCTA5 28610|103365701|2095235|G6350|B5|S|||||||||95716030|2087005
221704258328374|28610|ZCTA5 28610|103365701|2095235|G6350|B5|S|27890202935891|3710980|Catawba town|11481382|179493|G4110|C1|A|349626|5778
221704258328374|28610|ZCTA5 28610|103365701|2095235|G6350|B5|S|27890202935892|3712720|Claremont city|7378133|2452|G4110|C1|A|7257332|2452
